strategy_id,product_id,input_name,parameter_id,low,base,high,feasible_at_low,feasible_at_high,threshold,direction,evaluations,note,bracket_low,bracket_high
S0,norepinephrine_1mgml_4ml,capacity_utilization,product.annual_demand_units,500000.0,900000.0,1800000.0,False,False,,infeasible_everywhere,"[{""value"": 500000.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9954957194662896, ""p_meet"": 0.85, ""mean_cost"": 11772538.006632183, ""mcse_cost"": 4459.430021774095, ""mean_shortage_days"": 8.81120618838992, ""mean_cost_per_unit"": 22.58126160114, ""capacity_utilization"": 2606817.7, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 1800000.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.5841160966588743, ""p_meet"": 0.0, ""mean_cost"": 13158294.746270169, ""mcse_cost"": 24768.438481653404, ""mean_shortage_days"": 249.21411555312156, ""mean_cost_per_unit"": 12.012529191320189, ""capacity_utilization"": 5486413.6, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 500000.0 and 1800000.0; no threshold inside the recorded range,,
S0,norepinephrine_1mgml_4ml,fixed_qa_labor_per_node,product.fixed_qa_labor_usd_per_site_year,1500000.0,3000000.0,6000000.0,False,False,,infeasible_everywhere,"[{""value"": 1500000.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9877698388553909, ""p_meet"": 0.75, ""mean_cost"": 11206767.144264972, ""mcse_cost"": 12158.641406338778, ""mean_shortage_days"": 22.10302573932092, ""mean_cost_per_unit"": 12.03979810620912, ""capacity_utilization"": 4655638.0, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 6000000.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9877698388553909, ""p_meet"": 0.75, ""mean_cost"": 15885884.664570611, ""mcse_cost"": 12158.641406338727, ""mean_shortage_days"": 22.10302573932092, ""mean_cost_per_unit"": 17.067263237683072, ""capacity_utilization"": 4655638.0, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 1500000.0 and 6000000.0; no threshold inside the recorded range,,
S0,norepinephrine_1mgml_4ml,release_time,global.sterility_incubation_days,14.0,14.0,18.0,False,False,,infeasible_everywhere,"[{""value"": 14.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9877698388553909, ""p_meet"": 0.75, ""mean_cost"": 12766472.984366853, ""mcse_cost"": 12158.641406338727, ""mean_shortage_days"": 22.10302573932092, ""mean_cost_per_unit"": 13.715619816700439, ""capacity_utilization"": 4655638.0, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 18.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9857481406202261, ""p_meet"": 0.75, ""mean_cost"": 12756080.784431282, ""mcse_cost"": 12592.019311615488, ""mean_shortage_days"": 26.833673329682362, ""mean_cost_per_unit"": 13.733321009660926, ""capacity_utilization"": 4645912.5, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 14.0 and 18.0; no threshold inside the recorded range,,
S0,norepinephrine_1mgml_4ml,shelf_life,product.shelf_life_months,12.0,24.0,30.0,False,False,,infeasible_everywhere,"[{""value"": 12.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9877698388553909, ""p_meet"": 0.75, ""mean_cost"": 12766472.984366853, ""mcse_cost"": 12158.641406338727, ""mean_shortage_days"": 22.10302573932092, ""mean_cost_per_unit"": 13.715619816700439, ""capacity_utilization"": 4655638.0, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 30.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9877698388553909, ""p_meet"": 0.75, ""mean_cost"": 12766472.984366853, ""mcse_cost"": 12158.641406338727, ""mean_shortage_days"": 22.10302573932092, ""mean_cost_per_unit"": 13.715619816700439, ""capacity_utilization"": 4655638.0, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 12.0 and 30.0; no threshold inside the recorded range,,
S0,norepinephrine_1mgml_4ml,raw_material_lead_time,product.material_lead_time_days,30.0,90.0,240.0,False,False,,infeasible_everywhere,"[{""value"": 30.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9880729840835901, ""p_meet"": 0.6, ""mean_cost"": 12762982.413582508, ""mcse_cost"": 10043.904381611774, ""mean_shortage_days"": 23.073158543263965, ""mean_cost_per_unit"": 13.70506810029145, ""capacity_utilization"": 4656988.55, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 240.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9832471809679285, ""p_meet"": 0.65, ""mean_cost"": 12751484.835982174, ""mcse_cost"": 9795.031298790353, ""mean_shortage_days"": 30.494174424972613, ""mean_cost_per_unit"": 13.760805824557636, ""capacity_utilization"": 4633733.55, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 30.0 and 240.0; no threshold inside the recorded range,,
S0,norepinephrine_1mgml_4ml,common_cause_dependence,global.common_cause_events_per_year,0.02,0.1,0.3,False,False,,infeasible_everywhere,"[{""value"": 0.02, ""strategy_id"": ""S0"", ""mean_fill"": 0.9939181649805375, ""p_meet"": 0.8, ""mean_cost"": 12782636.738955243, ""mcse_cost"": 8800.45389350413, ""mean_shortage_days"": 13.951909912376777, ""mean_cost_per_unit"": 13.642575413153073, ""capacity_utilization"": 4684895.2, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 0.3, ""strategy_id"": ""S0"", ""mean_fill"": 0.9691552170855429, ""p_meet"": 0.65, ""mean_cost"": 12715157.93253177, ""mcse_cost"": 22918.613004490708, ""mean_shortage_days"": 38.655291621029576, ""mean_cost_per_unit"": 13.947158603560599, ""capacity_utilization"": 4566319.15, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 0.02 and 0.3; no threshold inside the recorded range,,
S0,norepinephrine_1mgml_4ml,supplier_concentration,global.supplier_disruptions_per_supplier_year,0.05,0.2,0.6,False,False,,infeasible_everywhere,"[{""value"": 0.05, ""strategy_id"": ""S0"", ""mean_fill"": 0.9901044334779284, ""p_meet"": 0.75, ""mean_cost"": 12770808.225089127, ""mcse_cost"": 10693.326988839717, ""mean_shortage_days"": 20.00273822562979, ""mean_cost_per_unit"": 13.68572217730339, ""capacity_utilization"": 4666754.0, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 0.6, ""strategy_id"": ""S0"", ""mean_fill"": 0.9813872020080254, ""p_meet"": 0.5, ""mean_cost"": 12744462.94840055, ""mcse_cost"": 10283.467770222753, ""mean_shortage_days"": 30.59418811610076, ""mean_cost_per_unit"": 13.779948200981966, ""capacity_utilization"": 4625163.75, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 0.05 and 0.6; no threshold inside the recorded range,,
S0,norepinephrine_1mgml_4ml,commissioning_days,global.node_commissioning_days,365.0,730.0,1095.0,False,False,,infeasible_everywhere,"[{""value"": 365.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9877698388553909, ""p_meet"": 0.75, ""mean_cost"": 12766472.984366853, ""mcse_cost"": 12158.641406338727, ""mean_shortage_days"": 22.10302573932092, ""mean_cost_per_unit"": 13.715619816700439, ""capacity_utilization"": 4655638.0, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 1095.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9877698388553909, ""p_meet"": 0.75, ""mean_cost"": 12766472.984366853, ""mcse_cost"": 12158.641406338727, ""mean_shortage_days"": 22.10302573932092, ""mean_cost_per_unit"": 13.715619816700439, ""capacity_utilization"": 4655638.0, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 365.0 and 1095.0; no threshold inside the recorded range,,
S0,norepinephrine_1mgml_4ml,activation_latency_days,global.reserved_capacity_activation_days,7.0,21.0,60.0,False,False,,infeasible_everywhere,"[{""value"": 7.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9877698388553909, ""p_meet"": 0.75, ""mean_cost"": 12766472.984366853, ""mcse_cost"": 12158.641406338727, ""mean_shortage_days"": 22.10302573932092, ""mean_cost_per_unit"": 13.715619816700439, ""capacity_utilization"": 4655638.0, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 60.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9877698388553909, ""p_meet"": 0.75, ""mean_cost"": 12766472.984366853, ""mcse_cost"": 12158.641406338727, ""mean_shortage_days"": 22.10302573932092, ""mean_cost_per_unit"": 13.715619816700439, ""capacity_utilization"": 4655638.0, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 7.0 and 60.0; no threshold inside the recorded range,,
S0,norepinephrine_1mgml_4ml,node_capital,product.capital_usd_per_site,15000000.0,40000000.0,100000000.0,False,False,,infeasible_everywhere,"[{""value"": 15000000.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9877698388553909, ""p_meet"": 0.75, ""mean_cost"": 8576972.002548536, ""mcse_cost"": 12158.641406338727, ""mean_shortage_days"": 22.10302573932092, ""mean_cost_per_unit"": 9.214221847326142, ""capacity_utilization"": 4655638.0, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}, {""value"": 100000000.0, ""strategy_id"": ""S0"", ""mean_fill"": 0.9877698388553909, ""p_meet"": 0.75, ""mean_cost"": 22821275.34073013, ""mcse_cost"": 12158.641406338751, ""mean_shortage_days"": 22.10302573932092, ""mean_cost_per_unit"": 24.518974943198025, ""capacity_utilization"": 4655638.0, ""feasible"": false, ""n_runs"": 20, ""eligibility"": ""NO_CONCLUSION""}]",feasibility does not change between 15000000.0 and 100000000.0; no threshold inside the recorded range,,
